"","Euc_Dist","CW_Dist","LCP_Length","Origin","Dest"
"1",88000,5988730,98112,4,13077
"2",51884.49,4603494,71183,4,13981
"3",25553.86,1473808.13,27384,4,13982
"4",2000,140828.06,2000,8,18
"5",7615.77,547426.19,8242,8,13842
"6",8062.26,537927.38,9656,8,13844
"7",13623.84,733435.56,16313,12,10509
"8",11201.27,605821.63,13313,12,11742
"9",8965.21,467861.47,10071,12,12873
"10",9000,485216.44,9414,12,13816
"11",5000,1277482.63,23727,15,3
"12",8544,544062.38,9485,15,8
"13",7332.11,574333.63,9242,15,19
"14",15556.35,745909.88,17142,15,12870
"15",9219.54,587611.63,10899,15,13831
"16",4242.64,319970.63,4242,16,3
"17",16492.42,905511.44,18071,16,15
"18",12855.57,695985.06,14242,16,17
"19",16760.42,1373822.13,26142,16,19
"20",17750.15,1155235,24313,17,3
"21",14560.93,1589827.75,31142,17,15
"22",5329.84,2058138.38,39213,17,19
"23",15811.39,815731.94,17485,18,13837
"24",8000,556538.81,8828,18,13844
"25",15181.65,1745793.38,31384,19,3
"26",20509.34,1237778.25,23485,19,8
"27",6324.56,468719.25,7242,20,8
"28",7000,543328.94,8242,20,18
"29",8000,507327.91,8000,20,37
"30",4123.11,308365.94,5242,20,13842
"31",5656.85,396176.5,7242,20,13847
"32",4000,259936.05,4414,23,13850
"33",3162.28,254594.41,4242,24,23
"34",10000,595159.88,10414,24,25
"35",1414.21,126895.36,1414,24,29
"36",12649.11,719531.06,15242,24,13850
"37",9219.54,569618.44,9485,25,23
"38",9055.39,541829.25,9414,25,29
"39",7615.77,387437.53,9414,25,12889
"40",7615.77,551019.69,8242,27,20
"41",3000,200593.95,3000,27,23
"42",15231.55,922892.25,16727,29,13826
"43",9000,530980.25,9414,29,13850
"44",3605.55,202113,4828,30,13835
"45",13601.47,565409,16313,30,13862
"46",11401.75,662187.19,14485,33,12943
"47",7280.11,514061.66,8828,33,13865
"48",8544,561680.75,9656,34,27
"49",10000,666254.94,10899,34,37
"50",11401.75,613445.44,12899,34,49
"51",3605.55,326323.81,3828,36,13864
"52",6000,374127.13,6414,37,44
"53",3605.55,256248.97,4414,38,34
"54",6000,417571.84,6828,38,44
"55",4000,221001.61,4414,38,49
"56",5000,284503.53,5000,38,13856
"57",6000,406548,8242,39,30
"58",8062.26,572834.81,8828,39,51
"59",18248.29,979552.5,23798,39,13829
"60",6708.2,384096,9071,40,13866
"61",11661.9,643572.13,12485,41,11817
"62",7071.07,469207.31,6656,41,12941
"63",3162.28,335440.25,4000,48,36
"64",17720.05,1114999.75,19071,48,39
"65",2000,190306.56,2414,48,51
"66",3000,309589.56,3828,48,13829
"67",2828.43,174255,2828,52,40
"68",4000,356110,4828,52,82
"69",5000,339959,5242,52,84
"70",8246.21,623320,9242,52,13866
"71",9000,576288,9414,52,13889
"72",3605.55,274254,3828,53,51
"73",9000,610027.88,9414,54,49
"74",7211.1,417104,8071,54,55
"75",7810.25,559638.88,8656,54,56
"76",9219.54,667460.19,10485,54,13856
"77",5385.16,290841.75,7071,55,13847
"78",5099.02,384629.13,5828,55,13873
"79",8485.28,474973,9656,57,51
