Cores,TempF_0,CoreF_0,Mean_fut
3,10.09,3,12.93256617
4,10.12,4,13.61792108
6,9.28,6,12.2666153
8,2.52,7796,12.93119293
11,9.87,11,12.87585413
12,9.75,13821,12.8281542
15,10.4,15,13.22131558
16,10.46,16,13.30629191
17,10.44,17,13.26092861
18,2.52,7796,12.53902299
19,10.38,19,13.18969715
20,8.93,12909,12.93876804
23,10.06,23,12.87609617
24,10.17,24,13.00047836
25,7.2,11778,12.93103904
27,7.2,11778,13.01420157
29,10.05,29,12.8885377
30,9.83,13858,13.67374268
33,8.57,12944,12.96090084
34,-0.45,3774,13.21359465
36,2.71,8140,13.67320523
37,8.42,12884,12.65188676
38,10.43,38,13.23922683
39,10.45,39,13.78602698
40,8.86,12938,13.59277696
41,7.99,12949,12.6194868
42,9.73,42,12.43635206
44,8.42,12884,12.60314532
45,9.46,45,12.17705536
46,10.3,46,13.01291312
48,7.4,11817,13.88861724
49,-0.45,3774,13.09324316
51,10.32,51,13.64015299
52,10.76,52,14.21507136
53,10.71,53,14.06085396
54,8.42,12884,13.10204442
55,10.06,55,12.84882718
56,-0.45,3774,12.57829294
57,10.91,57,14.27963758
60,10.82,60,14.18750193
62,-0.45,3774,13.50796514
63,8.05,12952,14.05714463
65,10.81,65,14.17671946
66,-0.45,3774,12.68726504
67,9.3,13873,12.94222126
69,9.88,13881,14.30620334
70,4.05,8693,12.95342813
71,10.76,52,14.24966523
72,-0.45,3774,13.87317736
74,8.05,12952,13.53411277
77,7.56,11848,13.00927382
78,-0.45,3774,13.72378766
80,10.94,80,14.33819593
81,1.88,8196,13.29026564
82,10.52,82,14.00210733
83,10.37,83,13.80233185
84,10.2,13889,14.04368743
85,10.54,85,13.92545575
86,10.28,86,14.42289608
87,10,13880,14.02504557
88,10.27,88,13.64598856
91,9.37,91,12.06312882
92,10.8,92,14.337627
93,10.8,93,14.20504434
94,9.03,94,11.7087707
95,3.1,8154,14.10541212
96,10.68,96,14.20597325
97,7.56,11848,13.00228889
98,10.65,98,14.17156154
99,10.17,99,12.84921975
100,11.34,100,14.63671403
101,8.33,12970,13.98651196
102,0.36,9381,14.126366
103,0.36,9381,13.81398302
104,10.67,104,13.49934075
105,2.03,8397,14.6033534
106,-1.41,14651,14.21580579
107,7.62,11835,12.61872942
109,10.86,109,14.16591654
110,10.59,110,14.11839659
111,0.36,9381,13.44973705
112,7.62,11835,12.80780728
113,2.92,8195,13.07336434
114,8.73,12996,14.02338471
119,7.62,11835,12.90614275
120,10.25,120,12.94716933
123,9.93,123,12.72695667
125,0.36,9381,13.65028966
126,0.36,9381,13.89719753
127,5.57,9602,13.34395904
128,9.37,13928,13.0729151
129,7.62,11835,13.02407429
132,0.36,9381,13.64689688
133,0.36,9381,14.13595424
134,0.36,9381,13.8202499
136,9.37,13928,12.69649072
138,9.47,13940,13.10841048
140,10.24,140,13.07901639
142,0.36,9381,13.71784286
143,5.38,9795,13.03065491
145,5.38,9795,13.0687133
146,0.91,3775,13.24690607
147,9.01,13946,13.35866833
148,0.91,3775,12.9932257
149,9.41,13956,13.24547465
150,0.91,3775,13.19538095
151,0.91,3775,13.03838329
152,10.48,152,13.31521798
153,10.75,882,13.48619823
154,7.28,11875,13.48066579
155,7.28,11875,13.20328455
156,0.91,3775,13.22866759
157,7.28,11875,13.11460561
158,7.28,11875,13.3203811
159,0.91,3775,12.99347661
161,4.76,10065,13.22394134
162,8.28,13059,13.19198042
164,3.4,8384,13.28209632
165,10.55,165,14.35059918
167,9.12,13979,12.87876883
168,-0.42,7932,13.28646874
169,3.99,9077,13.32243114
171,1.49,3823,14.46466396
173,9.91,13978,14.24384388
174,1.49,3823,14.29318954
175,4.76,10065,13.64536873
176,7.28,11875,13.0646864
178,4.05,9072,13.17338024
179,4.76,10065,13.24439678
180,9.48,13992,13.1809064
182,10.71,182,14.57813501
183,4.05,9072,14.0898057
184,-1.41,14651,14.00200266
185,4.05,9072,13.47087436
186,-0.42,7932,13.7193027
187,10.54,187,14.41729845
188,-1.41,14651,14.20414414
190,1.49,3823,14.00385215
191,7.35,12333,13.69561602
192,1.49,3823,14.31488396
193,11.09,193,14.70320005
195,1.49,3823,13.99916747
198,4.05,9072,13.44367293
199,8.34,13118,13.37163673
202,6.84,12539,14.21318009
203,8.34,13118,13.12610496
205,4.84,10209,13.58667814
207,9.23,14043,13.12273493
208,9.23,14043,13.092186
209,6.26,11408,13.28141653
210,10.68,210,13.43134266
211,8.34,13118,13.48713667
212,10.19,212,12.9429743
213,1.49,3823,14.40104996
214,9.66,14243,13.61761999
215,7.06,12480,13.81567706
216,3.46,9113,13.53016041
217,5.65,10276,13.82916819
218,10.5,218,14.13276042
224,5.65,10276,13.56695066
225,6.84,12539,14.21593941
226,9.32,14127,13.7501162
227,6.84,12539,14.00654257
228,1.49,3823,14.03277163
229,1.24,8010,14.20837739
230,2.21,7971,14.59724935
231,2.21,7971,14.55251984
232,1.59,7979,14.86625187
234,4.51,9129,14.24691445
235,-0.72,14771,14.16067739
236,1.49,3823,15.08269207
241,8.35,13447,14.18442773
242,10.43,242,14.19266721
243,9.05,243,12.82152663
246,3.66,10278,14.58547161
247,1.59,7979,14.67875365
248,9.79,248,13.60754398
249,2.03,8397,15.4809478
250,9.31,14168,13.57201571
252,9.18,252,12.96391621
253,10.26,253,14.0075028
254,4,9172,13.87845729
256,10.43,256,14.19559852
257,9.71,257,13.51543845
258,9.76,258,13.53046668
259,9.83,14217,14.29574837
260,8.35,13447,13.95297537
261,10.17,261,13.94235266
262,10.07,262,13.86106493
266,10.17,266,14.30378735
267,9.72,267,13.52560152
268,9.85,14268,13.87057738
270,10.37,270,14.60624694
271,9.97,271,13.82002293
272,9.69,272,13.51350655
273,10.3,273,14.44584043
274,10.24,274,14.48699193
275,10.28,275,14.43897997
276,10.14,276,14.39035659
277,10.65,277,14.81930975
278,10.01,278,13.80972637
279,4.02,9186,13.97250107
280,10.15,280,13.9933627
281,9.85,14250,13.84570353
283,10.4,283,14.68076144
284,9.95,14327,14.2261409
285,10.02,285,13.76208947
286,10.51,286,14.30808693
288,10.02,288,13.89686436
289,10.35,289,14.10071715
290,9.92,14297,13.82788885
291,10.11,291,13.95380882
292,9.95,14270,13.81340919
293,10.24,293,14.10753966
294,10.18,294,14.05669127
295,10.13,295,13.99345456
296,10.89,296,15.05791151
297,10.27,297,14.05520031
298,10.12,298,13.9939918
