Cores,Area
3,312903711.4
4,39000000
8,337000000
12,27029517.4
15,32000000
16,28000000
17,25201723.48
18,10500000
20,269000000
23,87000000
24,123000000
25,27000000.01
27,157000000
29,24000000
30,406000000
33,37000000
34,84000000
36,109000000
37,69000000.01
38,66000000
39,343000000
40,32000000
41,11500000
42,5914846.169
44,21000000
45,7914846.092
46,2995176.394
48,163000000
49,14000000
51,485000000
52,395500000
53,193000000
54,30000000.01
55,14271261.58
56,71999999.99
57,108000000
60,42000000.02
62,102000000
63,175000000
65,17000000
66,14000000
67,189500000
69,240000000
70,42500000
71,257000000
72,252000000
74,12000000
77,67000000
78,382500000
80,182000000
81,36999999.99
82,14000000
83,51000000
84,35000000
85,15000000
86,60000000
87,32000000
88,15000000
91,5872062.254
92,13000000
93,10000000
94,3346216.776
95,76000000.01
96,35499999.99
97,127500000
98,31000000
99,31000000
100,17999999.98
101,36000000.02
102,402000000
103,127000000
104,27000000
105,6713000000
106,32000000
107,13999999.99
109,18000000
110,11000000
111,40000000
112,23000000.01
113,103000000
114,102000000
119,11500000
120,18000000
123,141000000
125,142000000
126,98000000
127,103000000
128,324163871.4
129,131000000
132,23000000
133,27000000.01
134,16000000
136,17000000.01
138,1557000000
140,99000000
142,123000000
143,122000000
145,212000000
146,110000000
147,2375838585
148,61000000
149,2109000000
150,410000000
151,11999999.99
152,158000000
153,26470131.37
154,88000000
155,1899694104
156,507000000
157,419650000
158,362000000
159,31999999.99
161,352000000
162,393000000
164,189000000
165,24000000
167,219000000
168,164500000
169,100000000
171,79500000.02
173,1795000000
174,1451000000
175,67000000.01
176,51000000
178,186500000
179,1934644978
180,980847276.9
182,175000000
183,90000000.01
184,109500000
185,1034500000
186,111000000
187,47000000
188,38000000
190,608000000
191,364000000
192,2546000000
193,310464.5963
195,30000000
198,368875000
199,666000000
202,453000000
203,164500000
205,83000000
207,262000000
208,68000000
209,1651500000
210,260000000
211,78000000.01
212,280000000
213,3592350000
214,78000000
215,104000000
216,42000000
217,314000000
218,11000000
224,86999999.99
225,93000000
226,59999999.99
227,46500000
228,15999999.99
229,1596000000
230,5016500000
231,29000000
232,712000000
234,175000000
235,196000000
236,56000000.02
241,18000000
242,14000000
243,13000000
246,15000000
247,7531000000
248,14000000
249,11000000
250,43499999.99
252,16000000
253,11000000
254,238000000
256,113000000
257,13000000
258,35000000
259,86000000
260,24499999.99
261,27000000
262,25000000
266,10000000
267,103000000
268,35000000
270,19000000
271,24000000
272,18000000
273,46000000
274,13000000
275,18000000
276,59000000
277,11000000
278,31000000
279,93000000.02
280,24000000
281,34000000
283,17000000
284,276000000
285,32000000
286,31000000
288,24000000
289,40000000
290,108000000
291,11000000
292,20000000
293,14000000
294,16000000
295,29000000
296,30000000
297,61000000
298,41000000
299,23000000
300,11000000
301,40000000
302,12000000
303,20000000
304,70000000
305,195500000
306,341000000
307,16000000
309,113000000
312,10000000
313,122000000
314,53000000
315,17000000
316,12999999.96
317,15000000
318,39000000
319,15000000
320,4430500000
321,19000000
322,45000000
323,24000000
324,109000000
325,431000000
326,34000000
327,962999999.9
328,529000000
329,510000000
330,14000000
331,91000000
332,33000000
333,18000000
334,17000000
335,12000000
336,23000000
337,52000000
338,244000000
339,99999999.99
340,41000000
341,16000000
342,1762500000
343,17000000
344,131000000
345,83000000
346,63000000
348,48000000
349,16000000
350,20000000
351,13000000
352,48000000
353,14999999.98
354,32000000
355,23000000
356,85000000
357,43000000
358,72000000
359,24000000
360,387000000
361,16000000
362,9872500000
363,542000000
365,52000000.01
366,117000000
367,15000000
368,14000000
369,339000000
370,27000000
371,55000000
372,207000000
373,112000000
374,62000000
375,123000000
376,406000000
377,72000000
378,39000000.01
379,11000000
380,295000000
381,35000000
382,13500000
383,35000000
384,13000000
386,20000000
387,14000000
388,25000000
389,10000000
390,16000000
391,25000000
392,53999999.98
393,40000000
394,73000000
396,55000000
397,268000000
398,148000000
399,80000000
400,270000000
401,11000000
402,66999999.99
404,19000000
405,60000000
406,92999999.99
407,173000000
408,871000000
409,137000000
410,29750000.01
411,191000000
412,1293000000
413,13000000
414,21000000
415,118000000
416,42000000
417,17000000
418,312000000
419,33000000
420,68000000
421,90000000
422,76999999.99
423,183500000
424,31000000
425,77000000
426,38000000
428,14000000
429,56000000
430,132000000
431,42000000.02
432,237000000
433,263000000
434,257000000
436,503000000
439,28000000
441,268000000.1
442,42000000
443,99999999.97
445,10000000
446,32000000
447,45000000
448,61000000.01
449,286000000
450,19499999.98
452,115000000
453,40000000
454,89000000
455,28000000
456,35000000
457,45000000
458,71000000
459,35000000
460,15000000
461,28000000.02
462,92999999.99
463,24000000
465,50500000.01
467,50000000
468,30000000
469,22000000
470,22000000
471,14000000
472,37000000
474,160000000
475,31000000
476,15000000
477,167000000
478,56000000
479,546000000
480,36000000
482,387000000
483,70000000
484,16000000
485,10000000
486,647000000
487,6441000000
488,47000000
489,74000000
490,177000000
491,93000000
492,77000000
494,85000000
496,48000000
498,17500000
499,317000000
500,111000000
501,1345000000
502,152000000
503,81000000
504,51000000
505,98000000.02
506,11000000
507,70000000
509,62000000
510,222000000
511,68000000
512,25500000.01
513,78500000.06
514,775000000
515,1818000000
517,71000000
519,16000000
520,57000000
521,33000000
522,18000000
523,82000000.02
524,247000000
525,60499999.99
526,30000000
527,70999999.94
528,15000000
529,15500000
532,121000000
533,313000000
534,127000000
535,283000000
537,139000000
538,20999999.96
539,201000000
540,30000000
541,400000000
542,840000000
546,51000000.02
547,13500000.02
548,112000000
549,21500000
550,325000000
553,179000000
554,138000000
555,89000000
556,114000000
558,45000000
559,36000000
560,14000000
563,106000000
564,227000000
565,17999999.98
566,20999999.98
567,264500000
568,61000000
569,270000000
571,827000000
572,11000000
574,306000000
575,43000000.01
577,47000000.02
578,14000000
579,153000000
580,80000000
581,50000000
582,191000000
583,123000000
584,118500000
585,14000000
586,443000000
587,160000000
589,332000000
590,37000000
591,11375000.01
592,246500000
593,131000000
595,12000000
596,103000000
597,26500000.01
598,497000000
600,23500000
601,80999999.98
602,104000000
603,115000000
604,145000000
605,202000000
606,51000000
608,310000000
609,46000000
610,106000000
611,1208000000
612,108000000
613,20000000
614,102000000
615,608000000
617,11000000
618,10500000
619,102500000
620,263000000
623,133000000
624,1372000000
625,32000000
626,145000000
627,209000000
629,207000000
630,60000000
631,43000000.01
632,167000000
633,22000000
634,26000000
635,160000000
636,91000000
637,144000000
638,108000000
639,369999999.9
640,79000000
641,234999999.9
642,57000000
643,67000000
644,1159500000
645,31000000
646,52000000
647,144000000
648,100000000
649,9374500000
650,18000000
651,27000000
652,19000000
653,124000000
654,40000000
655,5348000000
656,1096500000
657,774000000
658,30000000
659,81000000
662,105000000
664,193000000
666,14000000
667,37000000
668,35000000
669,101500000
670,19000000
671,123000000
672,13000000
673,224000000
674,456000000
675,26500000.01
676,1082000000
677,697000000
679,165000000
680,14500000
682,30000000
684,3912000000
686,96000000
687,290000000
689,37499999.99
690,22000000
692,843000000
693,65000000
694,10000000
696,76999999.98
697,566000000
698,324000000
699,753000000
701,16000000
704,30000000
706,29000000
707,29000000
708,49000000
710,41999999.99
711,18999999.99
712,10000000
714,841000000
715,135000000
716,46000000
718,843000000
719,18500000
721,54000000
722,117500000
723,83000000.01
724,49000000.01
726,678000000
727,220000000
728,20000000
729,38000000
730,110000000
731,37000000
732,189000000
733,17000000
734,18000000
735,40000000
737,30000000
738,18000000
739,1290000000
740,13000000
741,290000000
743,770000000
745,12000000.01
746,125500000
747,609000000
748,47499999.97
749,282000000
750,32000000
751,563000000
752,459000000
753,1525000000
754,26000000
756,83000000.01
757,19000000
758,141000000
759,199000000
760,291000000
761,22000000
762,66000000
763,112000000
764,381000000
766,727000000
767,1749500000
768,23000000
769,133000000
771,1688000000
773,186000000
774,112000000
775,329000000
776,63999999.97
777,414000000
778,815000000
780,20999999.99
781,3319000000
782,705000000
783,111500000
784,644000000
785,10000000
786,328000000
787,43000000
788,207000000
789,76999999.99
790,105000000
791,870000000
792,217000000
793,800000000
794,220000000
795,2063000000
796,366000000
797,51000000.01
798,398000000
800,89000000
802,250000000
803,57499999.98
805,87000000
806,135000000
807,55999999.98
808,102000000
809,103000000
810,249000000
821,16459961.05
822,11000000
823,15000000
824,13500000.01
826,12500000.01
827,932000000
830,14000000
831,17000000.01
832,31000000
838,22000000
839,282000000
840,45000000
842,11000000
843,60000000
844,68000000
845,121000000
846,32000000
847,17999999.99
848,58000000
849,35000000
852,338000000
853,49000000
854,32000000
855,389000000
856,185000000
859,11000000
860,170000000
861,10000000
862,28499999.99
863,94999999.99
867,25000000
871,129927491.3
872,585.7750025
873,18000000
877,37999999.99
880,348138.7634
881,130521963
882,37336217.71
883,73740624.32
884,316000000
887,241000000
888,300000000
889,10794411.07
890,20000000.01
892,137000000
893,33000000
896,18999999.99
900,68000000
907,73279201.64
908,28000000
909,12924620.78
911,115957871.6
912,410999999.9
913,157000000
914,62000000
915,17000000
916,50000000.03
917,39500000
918,430000000
919,31999999.98
920,144000000
922,58000000.03
927,40000000
928,62000000.03
929,326000000
931,438000000
932,70499999.99
933,48000000
