Cores,Mean
1,9.73
2,9.75
3,10.09
4,10.12
6,9.28
8,10.13
11,9.87
12,9.9
15,10.4
16,10.46
17,10.44
18,9.77
19,10.38
20,10.14
23,10.06
24,10.17
25,10.1
27,10.2
29,10.05
30,10.33
33,10.27
34,10.4
36,10.45
37,9.85
38,10.43
39,10.45
40,10.15
41,9.45
42,9.73
44,9.8
45,9.46
46,10.3
48,10.63
49,10.29
51,10.32
52,10.76
53,10.71
54,10.3
55,10.06
56,9.75
57,10.91
60,10.82
62,10.31
63,10.73
65,10.81
66,9.82
67,10.15
69,10.81
70,9.81
71,10.81
72,10.6
74,10.23
77,10.22
78,10.4
80,10.94
81,10.42
82,10.52
83,10.37
84,10.55
85,10.54
86,10.28
87,10.5
88,10.27
91,9.37
92,10.8
93,10.8
94,9.03
95,10.57
96,10.68
97,10.22
98,10.65
99,10.17
100,11.34
101,10.75
102,10.57
103,10.41
104,10.67
105,10.46
106,10.67
107,9.93
109,10.86
110,10.59
111,10.15
112,10.02
113,10.25
114,10.71
119,10.12
120,10.25
123,9.93
125,10.37
126,10.61
127,10.51
128,10.36
129,10.25
132,10.34
133,10.34
134,10.09
136,9.92
138,10.36
140,10.24
142,10.41
143,10.17
145,10.17
146,10.27
147,10.58
148,10.07
149,10.47
150,10.33
151,10.15
152,10.48
153,10.8
154,10.72
155,10.47
156,10.39
157,10.28
158,10.5
159,10.11
161,10.42
162,10.32
164,10.38
165,10.55
167,10.02
168,10.24
169,10.38
171,10.65
173,10.41
174,10.42
175,10.87
176,10.29
178,10.39
179,10.48
180,10.45
182,10.71
183,11.27
184,10.12
185,10.65
186,10.67
187,10.54
188,10.32
190,10.18
191,10.54
192,10.55
193,11.09
195,10.11
196,10.3
198,10.55
199,10.62
200,0
201,10.2
202,10.38
203,10.29
205,10.3
207,10.25
208,10.24
209,10.46
210,10.68
211,10.64
212,10.19
213,10.64
214,9.84
215,10.54
216,10.25
217,10.4
218,10.5
224,10.28
225,10.38
226,10.02
227,10.18
228,10.28
229,10.45
230,10.76
231,10.66
232,10.72
234,10.75
235,10.6
236,11.33
241,10.42
242,10.43
243,9.05
246,10.43
247,10.55
248,9.79
249,11.32
250,9.79
252,9.18
253,10.26
254,10.37
256,10.43
257,9.71
258,9.76
259,10.12
260,10.19
261,10.17
262,10.07
266,10.17
267,9.72
268,10.05
270,10.37
271,9.97
272,9.69
273,10.3
274,10.24
275,10.28
276,10.14
277,10.65
278,10.01
279,10.43
280,10.15
281,9.98
283,10.4
284,10.11
285,10.02
286,10.51
288,10.02
289,10.35
290,10.09
291,10.11
292,9.98
293,10.24
294,10.18
295,10.13
296,10.89
297,10.27
298,10.12
299,10.49
300,10.36
301,10.43
302,10.43
303,10.33
304,10.36
305,10.52
306,10.51
307,9.98
309,10.58
312,10.95
313,10.31
314,9.7
315,10.64
316,10.58
317,10.19
318,10.62
319,10.59
320,10.32
321,10.54
322,10.8
323,10.18
324,10.13
325,10.22
326,10.22
327,10.18
328,10.52
329,10.23
330,10.61
331,10.44
332,10.6
333,10.33
334,10.86
335,10.21
336,10.08
337,10.48
338,10.61
339,10.56
340,10.1
341,10.31
342,10.66
343,10.36
344,10.72
345,10.19
346,10.48
348,10.54
349,10.7
350,10.46
351,10.98
352,10.97
353,10.61
354,10.53
355,10.83
356,10.61
357,10.17
358,10.84
359,10.53
360,10.3
361,10.86
362,10.57
363,10.8
365,10.87
366,10.41
367,9.58
368,10.96
369,10.73
370,10.69
371,10.84
372,10.07
373,10.27
374,10.09
375,10.74
376,10.58
377,10.07
378,10.44
379,10.09
380,10.69
381,10.42
382,9.98
383,10.77
384,10.55
386,10.01
387,10.55
388,10.48
389,10.34
390,10.26
391,10.89
392,10.57
393,10.81
394,10.3
396,10.1
397,10.94
398,10.2
399,10.4
400,10.14
401,10.08
402,10.1
404,10.86
405,10.71
406,10.43
407,10.24
408,10.14
409,10.9
410,10.05
411,10.57
412,10.54
413,10.62
414,10.09
415,10.24
416,10.62
417,10.86
418,10.77
419,10.92
420,10.67
421,10.55
422,10.76
423,10.26
424,10.51
425,10.44
426,10.61
428,10.62
429,10.6
430,10.23
431,10.1
432,10.2
433,10.46
434,10.57
436,10.5
439,10.93
441,10.69
442,10.31
443,10.66
445,10
446,10.71
447,10.68
448,10.61
449,10.18
450,10.11
452,10.28
453,10.92
454,10.78
455,10.71
456,10.27
457,10.73
458,10.96
459,10.61
460,11.05
461,10.21
462,9.64
463,10.13
465,10.86
467,10.86
468,10.92
469,10.78
470,10.44
471,10.84
472,10.47
474,10.29
475,10.78
476,10.33
477,10.1
478,10.88
479,10.47
480,10.05
482,10.39
483,10.88
484,10.96
485,11.06
486,10.4
487,10.49
488,10.24
489,10.46
490,10.7
491,10
492,10.22
494,10.48
496,10.92
498,10.92
499,10.5
500,10.83
501,10.5
502,11.03
503,10.35
504,11.94
505,10.86
506,11.08
507,10.64
509,9.2
510,10.71
511,10.83
512,10.24
513,10.86
514,10.63
515,10.52
517,10.57
519,10.3
520,10.19
521,10.94
522,11.04
523,10.08
524,10.02
525,10.4
526,10.55
527,11.37
528,10.59
529,10.98
532,9.59
533,10.1
534,10.41
535,10.69
537,10.88
538,11.81
539,10.06
540,10.77
541,10.59
542,10.61
546,10.75
547,10.28
548,10.13
549,9.89
550,10.4
553,10.55
554,9.95
555,9.57
556,9.51
558,10.14
559,10.74
560,10.46
563,9.59
564,10.31
565,12.38
566,11.53
567,9.68
568,9.56
569,10.5
571,10.44
572,10.56
574,10.08
575,9.9
577,10.71
578,10.8
579,10.8
580,10.37
581,10.55
582,10.29
583,8.8
584,9.93
585,10.46
586,10.41
587,10.06
589,10.43
590,9.99
591,9.24
592,10.25
593,10.66
595,10.08
596,10.22
597,9.49
598,10.78
600,11.69
601,10.42
602,10.89
603,10.6
604,10.52
605,10.59
606,10.05
608,10
609,10.98
610,10.56
611,10.43
612,10.45
613,10.93
614,10.5
615,10.38
617,10.7
618,11.03
619,10.61
620,10.12
623,10.78
624,10.59
625,11.23
626,9.76
627,10.89
629,10.2
630,10.02
631,10.77
632,10.44
633,10.71
634,10.82
635,9.77
636,9.16
637,10.78
638,10.2
639,10.76
640,10.35
641,10.17
642,10.64
643,10.2
644,10.62
645,10.25
646,10.51
647,10.25
648,10.52
649,10.51
650,10.29
651,9.42
652,9.86
653,9.71
654,9.76
655,10.5
656,10.65
657,10.54
658,10.33
659,10.35
662,10.1
664,10.36
