Core1,Core2
1,13796
8,13831
12,13821
18,13831
20,13844
25,13850
27,13850
30,13858
33,13846
34,13856
36,13829
37,13847
40,13859
41,13867
44,13847
45,13853
48,822
48,823
48,13864
49,13856
51,827
52,71
52,831
52,832
54,13847
56,13856
60,827
62,13871
63,826
63,13878
66,13856
67,13873
69,13880
69,13881
70,13901
71,832
72,824
72,830
72,13871
74,13857
77,13888
78,844
78,845
78,13871
80,839
81,13884
84,13889
87,13880
91,13815
95,13899
96,854
97,13896
98,846
100,852
101,13913
102,848
102,859
102,861
102,13915
103,13930
103,13931
105,927
105,928
105,960
105,14023
105,14150
105,14157
106,13920
107,13903
109,852
111,13922
112,13903
113,13918
114,852
114,13916
119,13903
125,13922
125,13942
126,13912
127,13929
128,13928
129,13903
132,13912
133,13963
134,13963
136,13928
138,13938
138,13940
142,13937
143,13939
145,13939
146,13953
147,871
147,873
147,877
147,13946
148,151
148,13955
149,881
149,883
149,884
149,888
149,13956
150,860
150,13955
151,13955
152,863
153,882
154,13945
155,892
155,907
155,13945
155,13964
156,862
156,887
156,13961
156,13965
157,890
157,893
157,13945
158,900
158,13945
159,13966
161,13983
162,896
162,13965
164,13971
167,13979
168,13985
169,13977
171,13974
173,847
173,913
173,13978
174,914
174,13974
175,13972
176,13945
178,13990
178,13993
179,908
179,911
179,915
179,916
179,922
179,13990
179,14008
180,934
180,937
180,13991
180,13992
182,917
183,13993
184,188
184,13996
185,922
185,932
185,933
185,13993
185,14020
186,13985
186,14007
188,13996
190,14010
191,929
191,14014
192,14010
192,14072
195,13974
198,918
198,14034
199,931
199,14020
202,14072
202,14073
203,942
203,14020
205,944
205,14041
207,943
207,945
207,14043
208,14043
209,941
209,14050
210,946
211,14020
212,941
213,236
213,912
213,14010
213,14072
213,14095
213,14174
214,14243
215,920
215,14053
216,919
216,14058
217,949
217,14057
224,947
224,14057
225,14072
226,14127
227,14072
228,14010
229,953
229,957
229,14183
229,14186
229,14201
229,14202
230,954
230,957
230,981
230,982
230,14074
230,14117
230,14258
230,14299
231,14256
232,14148
232,14162
234,956
234,14153
235,969
235,14131
236,912
236,14174
241,14177
246,14162
247,14148
249,960
250,14168
252,14167
254,966
254,14130
256,975
259,14217
260,14177
268,14268
279,974
279,14260
281,14250
284,14327
290,14297
292,14270
305,963
305,988
309,986
309,14295
312,1028
320,14148
320,14323
320,14349
320,14365
327,14318
328,14148
329,14148
336,14292
340,14287
342,534
342,971
342,992
342,1019
342,14317
342,14388
342,14389
344,990
344,14029
352,998
362,971
362,980
362,987
362,1195
362,14298
362,14351
362,14357
362,14384
362,14398
362,14400
362,14401
362,14448
362,14456
363,985
363,1007
363,14338
365,989
366,14242
367,14242
369,1022
371,999
372,14347
373,994
377,14312
380,1002
380,14338
382,14345
386,14310
389,14349
397,972
399,996
399,1051
400,14115
402,14344
406,14298
407,14357
409,1023
410,14328
411,1037
411,14309
412,1038
412,1102
412,14151
418,1045
419,14317
423,14364
431,14392
439,1003
442,968
442,14381
443,1099
443,1164
443,14391
445,14328
449,1052
449,1079
449,1095
449,14383
450,14263
452,1445
453,1055
460,1142
461,14263
462,1016
462,14380
472,14370
477,14404
479,1096
479,14431
479,14432
480,14364
483,1040
483,1089
484,1039
485,1080
486,971
486,14413
487,1088
487,1352
487,14394
487,14407
487,14414
487,14503
488,14364
490,1142
492,1398
492,1402
494,1248
496,1213
498,1342
499,1088
500,1302
500,14475
501,1088
501,14420
502,1139
502,14437
503,1295
504,14391
505,1018
505,14382
506,14388
509,971
510,14427
511,514
511,1121
511,14402
512,14435
513,1132
513,14395
514,1088
514,14402
514,14420
515,1308
515,14409
519,14421
520,14421
521,1135
522,1135
523,993
524,1202
524,1240
525,14395
527,1018
527,1166
527,14382
528,14417
529,14436
533,14433
534,567
534,971
534,13635
534,14446
